number|shortdesc|fulldesc
8728||"The AddReserve routine had resdate and expdate added in between arguments (not
appended) in 2009/2010ish so we need to adjust the t/db_dependent/Reserve.t accordingly."
7249||"This patch adds report webservice, with caching support, and public
visibility setting
Each report can now be declared public and accessible (WARNING: without
authentication) from OPAC.
To improve performance, it's also possible to cache for up to 30 days 
"
8492||"This enhancement extends the OpacSuppression feature with an optional IP address
range within which results are _not_ suppressed."
8004||"When a hold is placed on an item where the pickup location is different than the
holding library, Koha initiates a branch transfer for that item to fill that
hold when items is run through the returns system.

If the item is then run through returns a second time, the system is supposed to
close that transfer as a 'wrongtransfer', and open a new transfer with the same
from and to branches as the original.

The problem is that the original transfer is closed, but the new transfer is not
created. This is because at some point, someone replaced the template variable
WrongTransfer, which had previously contained the branchcode for the library to
transfer to, with the full name of the library instead ( I assume to make a look
nicer ).

The consequence of this, is the the name of the library is passed to
updateWrongTransfer instead of the branchcode, causing the failure."
5356||"The library will be able to choose shipping and billing address at basket level.
If those informations are filled at basket address, then they won't have to be
filled at basketgroup. If shipping & billing addresses are filled at basket
level, the information will be stored in the comment section of the basket. That
will be usefull for libraries having a single basketgroup for the supplier, but
different shipping/billing address"
7401||"If there is only one branch configured in Koha, it doesn't make any sense to put
a limiter on branchcode in search results.  Having a limiter on shelving
locations within that branch, though, would be very handy."
7794||"Table sessions had a UNIQUE KEY `id`, that is moved to PRIMARY KEY.
(There's no noticeable consequence to this change)"
8454||"Currently, when you click  Holds to pull from the Circulation menu, the only
thing that you see is a white screen and a side navigation bar that says  Refine
Results .

Since there appear to be no results to refine, the holds to pull list appears
completely empty. Staff have to know to click  Submit on the Refine Results 
form to get anything.

This patch set the run_report  flag to ON for the initial load. The
report uses the default 2 days mentioned in the Refine Results form, so there
is continuity across the board."
7652||"This patch displays the item barcode on top of its editing form. It's
more useful for the common user than the itemnumber which has no practical sense
for him."
5327||"The patches attached to this entry are related to unit tests developers
run when a patch is added to Koha."
8102||"This patch add a DataTables filter in Acquisision module: supplier.tt"
7671||"All select in accountlines are WHERE borrowernumber = ? AND accountno=?. Best
practice is to have an id. This patch add id as identifier and modify calls to 
accountlines to use it"
8268||"Right now, if libraries with hosted installations want copies of the database
for backup purposes, they have to request that their vendors provide them with a
copy. With this feature, it is possible for vendors to easily enable their
customers to easily download backups of their database via the Export tool."
7161||"This patch modify Open Library javascript to:
  1. Use jscmd=data instead of default, this provides ebooks availability
  information. This will allow us to display read/borrow/checkedout icons.
  2. Show larger image in opac-detail page.
  3. Show read/borrow/checked-out status in opac-detail page below the image"
7986||"This patch add filters and export button (in iso2709 or csv format) on 
issues table
The export will export bibliographic and items informations, that can be put 
on a USB key and given to your patron.
If the patron is a library, he can import this file into his local ILS.
(This is a common usage in France, where large library check-out hundreds of books
for a long period to small villages)"
